gene_id,annotation_a,annotation_b,relationship,evidence
fig|273133.2.peg.39,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Synonym,"Both terms describe the same protein with the same characteristic (intein-containing), differing only in capitalization, which is not significant in biological nomenclature"
fig|273133.2.peg.40,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Synonym,"Both terms describe the same protein with the same characteristic (intein-containing), differing only in capitalization, which is not significant in biological nomenclature"
fig|273133.2.peg.157,Phage tail fiber,Phage tail fiber protein,Synonym,"""Phage tail fiber"" and ""Phage tail fiber protein"" refer to the same entity, with the latter explicitly stating it is a protein, which is implied in the former"
fig|273133.2.peg.54,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Synonym,"Both terms describe the same protein, with slight variation in phrasing. The function and identity of the protein are clear in both"
fig|273133.2.peg.156,Phage tail fiber,Phage tail fiber protein,Synonym,"""Phage tail fiber"" and ""Phage tail fiber protein"" refer to the same entity, with the latter explicitly stating it is a protein, which is implied in the former"
fig|273133.2.peg.166,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Synonym,"The addition of the EC number in B provides specific enzymatic classification, but both terms refer to the same helicase function"
fig|273133.2.peg.76,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Synonym,"The addition of the EC number in B provides specific enzymatic classification, but both terms refer to the same helicase function"
fig|273133.2.peg.183,Phage endolysin,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Related,"A describes the general function of phage endolysin, while B specifies the enzymatic activity with an EC number, indicating a specific type of endolysin"
fig|273133.2.peg.185,HNH homing endonuclease,Phage homing endonuclease,Related,"A specifies the HNH motif, a specific type of homing endonuclease, while B refers to a broader category of phage homing endonucleases, which may include various motifs"
fig|273133.2.peg.188,"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Synonym,"Both terms describe the same enzymatic activity, with B providing the EC number for specificity, but both refer to the same function of phage lysin"
fig|273133.2.peg.1,Phage repressor,Phage repressor protein,Synonym,"Both terms refer to the same protein, with ""protein"" being an optional descriptor in biological nomenclature"
fig|273133.2.peg.193,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Synonym,"Both terms describe the same protein, with slight variation in phrasing; the function and identity remain unchanged"
fig|374463.4.peg.296,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),Glucose-6-phosphate 1-dehydrogenase (NADP+) (EC 1.1.1.49),Synonym,"Both terms refer to the same enzyme, with the inclusion of ""(NADP+)"" providing additional specificity about the cofactor used, which is consistent with the EC number"
fig|374463.4.peg.298,Manganese transport protein MntH,"Mn(II) and Fe(II) import protein MntH, proton-dependent",Related,"Both terms describe the same protein, but B provides additional detail about the ions transported and the mechanism, which is consistent with the function of MntH"
fig|374463.4.peg.181,hypothetical protein,Outer membrane beta-barrel assembly protein BamD,Unknown,"Distinct — A ""hypothetical protein"" is a predicted protein with unknown function, whereas B is a specific protein with a known function in outer membrane assembly"
fig|374463.4.peg.282,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),Enoyl-[acyl-carrier-protein] reductase (NADH) (EC 1.3.1.9),Synonym,"Both terms refer to the same enzyme, with slight variation in the placement of the cofactor descriptor ""(NADH)"", consistent with the EC number"
fig|374463.4.peg.161,Sulfate-binding protein Sbp,"Sulfate/thiosulfate ABC transporter, sulfate-binding protein Spb",Related,"Both terms describe a sulfate-binding protein, but B provides additional context about its role in an ABC transporter system and alternative substrate binding"
fig|374463.4.peg.166,Glutaredoxin 3 (Grx3),Glutaredoxin 3,Synonym,"Both terms refer to the same protein, with ""Grx3"" being a common abbreviation used in scientific literature"
fig|374463.4.peg.288,Cys regulon transcriptional activator CysB,"Cys regulon transcriptional activator CysB, LysR family",Related,"Both terms describe the same transcriptional activator, with B providing additional information about the protein family (LysR), which is relevant for functional classification"
fig|374463.4.peg.289,DNA topoisomerase I (EC 5.99.1.2),DNA topoisomerase I (EC 5.6.2.1),Unknown,"Distinct — The EC numbers indicate different enzyme classifications, suggesting a discrepancy in the enzyme's recognized function or classification"
fig|374463.4.peg.291,YciL protein,YciI protein,Unknown,"Distinct — YciL and YciI proteins are distinct entities, likely representing different genes or gene products, as indicated by their differing names. In bacterial nomenclature, the letter following 'Yci' typically denotes a different protein or gene"
fig|374463.4.peg.170,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23) (EC 4.2.99.18),Unknown,"Distinct — The presence of two different EC numbers for B indicates that it has dual enzymatic activities, distinguishing it from A, which has only one EC number. This suggests B has additional functional capabilities"
fig|374463.4.peg.182,LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23) ## RluD,Synonym,"Both terms describe the same enzyme activity with the same EC number, and the addition of 'RluD' in B is a common practice to include gene names or synonyms, indicating they are the same entity"
fig|374463.4.peg.185,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) ## TrmD,Synonym,"Both terms describe the same enzyme activity with the same EC number, and the addition of 'TrmD' in B is a common practice to include gene names or synonyms, indicating they are the same entity"
